first_name,last_name,state,party,handle
Bryan,Steil,WI,Republican,RepBryanSteil
Carol,Miller,WV,Republican,RepCarolMiller
Rick,Scott,FL,Republican,SenRickScott
Mike,Braun,IN,Republican,SenatorBraun
Joshua,Hawley,MO,Republican,SenHawleyPress
Mitt,Romney,UT,Republican,SenatorRomney
Jared,Golden,ME,Democrat,RepGolden
Fred,Keller,PA,Republican,RepFredKeller
Dan,Bishop,NC,Republican,RepDanBishop
Gregory,Murphy,NC,Republican,RepGregMurphy
Kweisi,Mfume,MD,Democrat,RepKweisiMfume
Thomas,Tiffany,WI,Republican,RepTiffany
Mike,Garcia,CA,Republican,RepMikeGarcia
Chris,Jacobs,NY,Republican,RepJacobs
Mark,Kelly,AZ,Democrat,SenMarkKelly
Cynthia,Lummis,WY,Republican,SenLummis
Darrell,Issa,CA,Republican,repdarrellissa
Pete,Sessions,TX,Republican,PeteSessions
David,Valadao,CA,Republican,RepDavidValadao
Tommy,Tuberville,AL,Republican,SenTuberville
John,Hickenlooper,CO,Democrat,SenatorHick
Bill,Hagerty,TN,Republican,SenatorHagerty
Jerry,Carl,AL,Republican,RepJerryCarl
Barry,Moore,AL,Republican,RepBarryMoore
Jay,Obernolte,CA,Republican,JayObernolte
Young,Kim,CA,Republican,RepYoungKim
Michelle,Steel,CA,Republican,RepSteel
Sara,Jacobs,CA,Democrat,RepSaraJacobs
Lauren,Boebert,CO,Republican,RepBoebert
Katherine,Cammack,FL,Republican,RepKatCammack
C.,Franklin,FL,Republican,RepFranklin
Byron,Donalds,FL,Republican,RepDonaldsPress
Carlos,Gimenez,FL,Republican,RepCarlos
Maria,Salazar,FL,Republican,RepMariaSalazar
Nikema,Williams,GA,Democrat,RepNikema
Carolyn,Bourdeaux,GA,Democrat,RepBourdeaux
Andrew,Clyde,GA,Republican,Rep_Clyde
Marjorie,Greene,GA,Republican,RepMTG
Kaialiʻi,Kahele,HI,Democrat,RepKahele
Ashley,Hinson,IA,Republican,RepAshleyHinson
Mariannette,Miller-Meeks,IA,Republican,RepMMM
Randy,Feenstra,IA,Republican,RepFeenstra
Marie,Newman,IL,Democrat,RepMarieNewman
Mary,Miller,IL,Republican,RepMaryMiller
Frank,Mrvan,IN,Democrat,RepMrvan
Victoria,Spartz,IN,Republican,RepSpartz
Tracey,Mann,KS,Republican,RepMann
Jacob,LaTurner,KS,Republican,RepLaTurner
Jake,Auchincloss,MA,Democrat,RepAuchincloss
Peter,Meijer,MI,Republican,RepMeijer
Lisa,McClain,MI,Republican,RepLisaMcClain
Michelle,Fischbach,MN,Republican,RepFischbach
Cori,Bush,MO,Democrat,RepCori
Matthew,Rosendale,MT,Republican,RepRosendale
Deborah,Ross,NC,Democrat,RepDeborahRoss
Kathy,Manning,NC,Democrat,RepKManning
Madison,Cawthorn,NC,Republican,RepCawthorn
Yvette,Herrell,NM,Republican,RepHerrell
Teresa,Leger Fernandez,NM,Democrat,RepTeresaLF
Andrew,Garbarino,NY,Republican,RepGarbarino
Nicole,Malliotakis,NY,Republican,RepMalliotakis
Ritchie,Torres,NY,Democrat,RepRitchie
Jamaal,Bowman,NY,Democrat,RepBowman
Mondaire,Jones,NY,Democrat,RepMondaire
Stephanie,Bice,OK,Republican,RepBice
Cliff,Bentz,OR,Republican,RepBentz
Nancy,Mace,SC,Republican,RepNancyMace
Diana,Harshbarger,TN,Republican,RepHarshbarger
Patrick,Fallon,TX,Republican,RepPatFallon
August,Pfluger,TX,Republican,RepPfluger
Ronny,Jackson,TX,Republican,RepRonnyJackson
Troy,Nehls,TX,Republican,RepTroyNehls
Ernest,Gonzales,TX,Republican,RepTonyGonzales
Beth,Van Duyne,TX,Republican,RepBethVanDuyne
Blake,Moore,UT,Republican,RepBlakeMoore
Clarence,Owens,UT,Republican,RepBurgessOwens
Robert,Good,VA,Republican,RepBobGood
Marilyn,Strickland,WA,Democrat,RepStricklandWA
Scott,Fitzgerald,WI,Republican,RepFitzgerald
Alejandro,Padilla,CA,Democrat,SenAlexPadilla
Jon,Ossoff,GA,Democrat,SenOssoff
Raphael,Warnock,GA,Democrat,SenatorWarnock
Claudia,Tenney,NY,Republican,RepTenney
Julia,Letlow,LA,Republican,RepJuliaLetlow
Troy,Carter,LA,Democrat,RepTroyCarter
Melanie,Stansbury,NM,Democrat,Rep_Stansbury
Jake,Ellzey,TX,Republican,RepEllzey
Shontel,Brown,OH,Democrat,RepShontelBrown
Mike,Carey,OH,Republican,RepMikeCarey

